STATECD.x,PLOT_STATUS_CD,PLOT_FIADB.x,State_Plot,STATECD.y,PLOT_FIADB.y,sum_propfor,n_plots
41,1,97910,9791041,41,97910,2,2
41,1,51528,5152841,41,51528,1.602713,2
41,1,82888,8288841,41,82888,2,2
41,1,61789,6178941,41,61789,2,2
41,1,74553,7455341,41,74553,2,2
41,1,53070,5307041,41,53070,2,2
41,1,87236,8723641,41,87236,1.661674,2
41,1,99099,9909941,41,99099,2,2
41,1,81331,8133141,41,81331,1.4490210000000001,2
41,1,81809,8180941,41,81809,2,2
41,1,71840,7184041,41,71840,2,2
41,1,61556,6155641,41,61556,2,2
41,1,52502,5250241,41,52502,1.878696,2
41,1,74467,7446741,41,74467,2,2
41,1,83793,8379341,41,83793,1.75,2
41,1,59821,5982141,41,59821,2,2
41,1,51735,5173541,41,51735,2,2
41,1,50904,5090441,41,50904,2,2
41,1,93523,9352341,41,93523,2,2
41,1,92935,9293541,41,92935,2,2
41,1,93334,9333441,41,93334,2,2
41,1,67782,6778241,41,67782,1.850825,2
41,1,90522,9052241,41,90522,1.5,2
41,1,86647,8664741,41,86647,2,2
41,1,64186,6418641,41,64186,2,2
41,1,71047,7104741,41,71047,2,2
41,1,90666,9066641,41,90666,2,2
41,1,56238,5623841,41,56238,1.75,2
41,1,88712,8871241,41,88712,2,2
41,1,70778,7077841,41,70778,2,2
41,1,62356,6235641,41,62356,2,2
41,1,92703,9270341,41,92703,2,2
41,1,50017,5001741,41,50017,2,2
41,1,90098,9009841,41,90098,2,2
41,1,64905,6490541,41,64905,1.75,2
41,1,72817,7281741,41,72817,2,2
41,1,66247,6624741,41,66247,2,2
41,1,51134,5113441,41,51134,2,2
41,1,83118,8311841,41,83118,2,2
41,1,78234,7823441,41,78234,1.784484,2
41,1,82844,8284441,41,82844,2,2
41,1,82428,8242841,41,82428,2,2
41,1,56365,5636541,41,56365,2,2
41,1,66655,6665541,41,66655,2,2
41,1,62769,6276941,41,62769,2,2
41,1,61136,6113641,41,61136,2,2
41,1,56815,5681541,41,56815,1.64023,2
41,1,83204,8320441,41,83204,2,2
41,1,66347,6634741,41,66347,2,2
41,1,52947,5294741,41,52947,2,2
41,1,68039,6803941,41,68039,2,2
41,1,84567,8456741,41,84567,2,2
41,1,98182,9818241,41,98182,2,2
41,1,53972,5397241,41,53972,2,2
41,1,83519,8351941,41,83519,1.5054669999999999,2
41,1,70333,7033341,41,70333,2,2
41,1,92587,9258741,41,92587,2,2
41,1,78950,7895041,41,78950,1.734124,2
41,1,85516,8551641,41,85516,1.962474,2
41,1,94353,9435341,41,94353,1.971658,2
41,1,71547,7154741,41,71547,2,2
41,1,59108,5910841,41,59108,2,2
41,1,73216,7321641,41,73216,2,2
41,1,67726,6772641,41,67726,2,2
41,1,73938,7393841,41,73938,2,2
41,1,97327,9732741,41,97327,2,2
41,1,87196,8719641,41,87196,2,2
41,1,80838,8083841,41,80838,2,2
41,1,71585,7158541,41,71585,2,2
41,1,71176,7117641,41,71176,2,2
41,1,74205,7420541,41,74205,1.418354,2
41,1,52527,5252741,41,52527,2,2
41,1,69432,6943241,41,69432,2,2
41,1,60068,6006841,41,60068,1.811526,2
41,1,54560,5456041,41,54560,1.75,2
41,1,58056,5805641,41,58056,2,2
41,1,98102,9810241,41,98102,2,2
41,1,79304,7930441,41,79304,2,2
41,1,87603,8760341,41,87603,2,2
41,1,50175,5017541,41,50175,1.92751,2
41,1,79364,7936441,41,79364,2,2
41,1,59513,5951341,41,59513,2,2
41,1,72631,7263141,41,72631,2,2
41,1,94750,9475041,41,94750,2,2
41,1,52136,5213641,41,52136,1.786598,2
41,1,84739,8473941,41,84739,2,2
41,1,90987,9098741,41,90987,2,2
41,1,82938,8293841,41,82938,1.693735,2
41,1,65606,6560641,41,65606,2,2
41,1,51435,5143541,41,51435,2,2
41,1,58267,5826741,41,58267,1.756896,2
41,1,53996,5399641,41,53996,2,2
41,1,55859,5585941,41,55859,2,2
41,1,56306,5630641,41,56306,2,2
41,1,89689,8968941,41,89689,2,2
