spp,pred1,pred2,x.min,x.max,aic.vals,moran.p,slope.true,int.p,slp.p,int.coef,slp.coef,center.adj,int.alone.est,int.alone.p
X263,0.08927840076571172,-0.05267136802918009,2.14360013,13.131200695,,,1,0.5296062155217041,0.0018984728874917867,0.006604463924942387,-0.012919087106884814,8.542963812338739,0.006705957519115451,0.5441818116258719
X264,0.2028801304034545,0.2028801304034545,0.8779000366,10.0515004164,,,0,0,NA,0.2028801304034545,NA,5.597053946538422,0.2028801304034545,0
X312,-0.26907097731725044,0.24976420185702766,5.3217002393,16.15940075,,,1,0.7020186371018866,4.355752203366592e-9,-0.007771674436615049,0.04787317924702156,10.779856705833236,-0.008216373625301922,0.702525219821805
X333,0.21014288430888833,0.21014288430888833,12.057300567,17.643500711,,,0,9.759715523360857e-4,NA,0.21014288430888833,NA,14.790144620619047,0.21014288430888833,9.759715523360857e-4
X351,-0.07372619506111124,-0.07372619506111124,3.6036001922,14.908300783,,,0,2.2635131635695416e-7,NA,-0.07372619506111124,NA,9.860516220837669,-0.07372619506111124,2.2635131635695416e-7
X352,0.22802926034237894,0.22802926034237894,6.0307003021,16.824300765,,,0,0.002458851058437128,NA,0.22802926034237894,NA,11.69009365465,0.22802926034237894,0.002458851058437128
X361,-0.037004049091196436,0.2797715624826637,7.7512003422,17.019180489,,,1,2.220446049250313e-16,1.5095177441359908e-7,0.10623546753687783,0.03417957381827526,11.941993281563288,0.10586275074572472,0
X375,0.2864079682963063,-0.06560902036200361,4.2400002242,10.887200453,,,1,1.12880113922742e-7,2.656519543873248e-4,0.132240017924523,-0.05295718145109321,7.151181411479762,0.13172405294552034,1.1566429981213489e-4
X431,0.06998138935651721,0.06998138935651721,6.3466002942,14.074800779,,,0,0.0020908502004455265,NA,0.06998138935651721,NA,10.27494888578776,0.06998138935651721,0.0020908502004455265
X492,0.14102881545103374,0.14102881545103374,6.9078003408,15.536500835,,,0,0.06700289652941183,NA,0.14102881545103374,NA,10.998384502297345,0.14102881545103374,0.06700289652941183
X542,-0.18087235684377378,0.41496951531584353,9.8831004142,16.65680113,,,1,0.4941789772233456,2.1234588174467994e-4,-0.02566030156126626,0.08796400921135854,11.647595423852941,-0.02148152728520863,0.6623513364083355
X631,-0.30996472317827795,0.3970484360706525,8.016300297,16.389400576,,,1,0.0025501108799310668,0,0.05818425759155769,0.08443863511609216,12.37625922177038,0.05684670453297589,0.001287083854592419
X746,0.3240548556314235,0.3240548556314235,1.976100099,10.0799004544,,,0,6.983302824892235e-13,NA,0.3240548556314235,NA,6.315111074873228,0.3240548556314235,6.983302824892235e-13
X747,0.3886041209011463,-0.30868410387103984,3.0813001394999997,16.324100877,,,1,0.002920946421432369,1.3021543209035258e-5,0.09771361211217022,-0.052654135525701605,8.605852121689248,0.09733322317681616,0.010490811817363
X768,-0.08224560343340365,-0.08224560343340365,5.4657002688,12.872200774,,,0,0.018912058496992623,NA,-0.08224560343340365,NA,9.799756527270707,-0.08224560343340365,0.018912058496992623
X801,-0.27494446074733514,0.7560602473429918,13.205200577,18.041000939,,,1,0.11547074465737817,7.99567079212693e-11,0.07250661663050598,0.2132024961559666,14.834876981556098,0.06629695641424492,0.20262504389834923
X805,0.13619777726490553,0.44760303369789267,6.6162002565,17.140500641,,,1,0,1.5162061968609919e-5,0.3090165972575539,0.029589164605337493,12.45681192288933,0.30973608446261447,0
X807,0.2782839746507085,0.2782839746507085,10.6741005907,17.935200692,,,0,0,NA,0.2782839746507085,NA,15.88138106882853,0.2782839746507085,0
X815,0.16812565186714853,0.16812565186714853,6.2651002406,17.928670883,,,0,1.5830381450143705e-10,NA,0.16812565186714853,NA,11.21412484707942,0.16812565186714853,1.5830381450143705e-10
X818,0.3734290925314716,0.3734290925314716,7.0835002899,17.928670883,,,0,0,NA,0.3734290925314716,NA,12.559015445214605,0.3734290925314716,0
X821,0.21725062939721645,0.21725062939721645,11.132100584,17.259800721,,,0,0.0045639696861339285,NA,0.21725062939721645,NA,14.677133758596774,0.21725062939721645,0.0045639696861339285
X839,0.29009732529065335,0.29009732529065335,9.6033004761,17.928670883,,,0,0,NA,0.29009732529065335,NA,15.199768837156364,0.29009732529065335,0
X981,-0.23877405862030288,0.31727814921420733,8.7865003586,17.779700852,,,1,0.19238753739299863,1.6101696372272656e-4,0.04478943204466464,0.06183029147883337,13.37265843553614,0.04278664862344649,0.23633288823735854
