STATECD,PLOT_FIADB,INVYR,pre.temp,post.temp
6,75351,2005,14.47889186,15.00840082
6,74018,2007,14.49763711,15.37698262
6,98977,2009,14.2353284,15.43108956
6,75921,2001,14.71732818,14.13356418
6,79229,2001,14.2688732,13.77174604
6,51559,2003,14.5123827,13.88200077
6,92283,2005,14.43887338,15.0625825
6,76194,2002,14.43930943,13.77209133
6,54727,2004,14.21527308,14.53120053
6,61797,2006,16.15338317,17.18952784
6,91446,2002,13.74827342,13.07612792
6,88447,2004,14.29420055,14.5523098
6,66937,2006,14.48298215,15.39578245
6,58475,2008,14.42116448,15.38743726
6,77594,2001,13.18940048,12.49420041
6,81443,2003,14.07976442,13.67638232
6,92166,2005,14.23049164,14.84734619
6,50664,2005,16.02360148,16.81971006
6,86089,2007,13.1265462,14.13000049
6,73237,2009,13.20252776,14.67874402
6,63040,2001,14.29223712,13.59930964
6,61019,2008,12.93383727,14.09329149
6,93917,2001,16.80167337,16.33223672
6,98076,2006,16.17403649,17.07081863
6,88849,2002,14.13229188,13.21801902
6,98262,2004,14.59678249,14.66880061
6,59043,2002,14.4797279,13.63949134
6,61286,2003,14.04165533,13.33020049
6,95098,2009,13.64047349,15.17990209
6,99284,2003,16.23409174,15.90805541
6,95917,2009,15.83865544,16.7103315
6,72574,2006,12.70698265,13.93205511
6,97877,2009,13.01996416,14.70767857
6,62967,2001,14.44938263,13.51863694
6,61904,2001,16.40940049,16.18154618
6,76399,2008,13.19292828,14.77594629
6,61575,2002,14.34272782,13.39680068
6,62023,2005,14.05670982,15.15223725
6,54825,2005,15.47601916,16.07140104
6,83752,2004,9.78869178,10.32632759
6,77523,2006,9.726127417,10.52790943
6,76323,2008,9.005764164,10.02060047
6,61511,2004,13.84430949,14.00580053
6,59666,2006,13.77572807,15.01669169
6,68087,2008,13.73312789,15.17801899
6,58966,2002,15.59736437,14.91596411
6,55559,2004,15.57283696,15.93643707
6,83063,2009,15.66441893,16.86428625
6,90040,2005,9.392909518,9.881382074
6,72088,2005,12.28578237,12.99207296
6,51527,2003,14.09809149,13.33469159
6,57465,2005,13.89550993,14.67570983
6,63595,2007,14.09510977,15.23061867
6,86412,2006,15.07643701,15.91112784
6,60158,2006,15.5198555,16.58680117
6,51525,2003,15.57060084,15.34927349
6,97423,2007,16.60356409,17.08812785
6,93287,2001,8.940782217,8.484563914
6,83094,2009,9.09216404,9.79370431
6,65195,2008,15.49023704,16.86271012
6,91760,2009,15.45067336,16.72996601
6,80401,2007,12.21485519,13.07843687
6,97860,2001,16.1483825,15.67461862
6,60696,2007,4.386382155,5.080345735
6,72050,2001,12.1543462,11.50956421
6,94371,2007,16.62196506,16.95236428
6,53893,2003,16.70490974,15.96512821
6,95620,2004,11.14421877,11.1228186
6,82550,2004,16.66549225,16.82489161
6,82871,2003,16.66663764,16.34994616
6,51549,2007,16.92669191,17.47327362
6,50533,2009,16.38505558,17.2883963
6,57441,2002,5.865036609,5.927073063
6,75013,2002,15.95010993,15.7154738
6,78769,2009,15.4187281,15.9689656
6,70928,2009,15.80656435,17.03049672
6,96611,2006,14.00130969,14.98420098
6,94509,2008,14.38914606,15.73421915
6,92501,2001,6.662182236,6.39934571
6,64496,2005,13.93258247,14.75078258
6,83310,2007,16.78951021,17.41838243
6,52120,2008,6.8226367,7.110745794
6,94559,2009,13.50072774,15.03809686
6,75721,2001,13.76380091,13.27278238
6,56093,2004,7.063873118,6.860618418
6,87099,2006,6.907345789,7.507927591
6,86909,2003,7.131782168,6.222291158
6,82992,2005,6.930364028,7.376109236
6,88080,2009,6.519345994,7.16313291
6,66893,2001,6.876054798,6.125763954
6,67179,2009,14.24041875,15.79756213
6,82825,2005,16.06603688,16.94451015
6,61318,2001,6.765091255,5.919072897
6,69798,2009,12.75620065,13.69832736
6,75349,2003,5.945873009,6.172927692
6,83652,2009,16.6030374,17.65730662
