STATECD,INVYR,PLOT_STATUS_CD,PLOT_FIADB,plt_cn,intensification,propfor,propnonfor,propwater,propmiss,STRATUM
6,2016,2,61797,345934999489998,0,0,1,0,0,0
6,2006,2,61797,8961711010901,0,0,1,0,0,0
6,2002,2,91446,23949656010900,0,0,1,0,0,0
6,2012,2,91446,30762786020004,0,0,1,0,0,0
6,2014,2,88447,216959978020004,0,0,1,0,0,0
6,2004,2,88447,24995771010900,0,0,1,0,0,0
6,2016,2,66937,345935358489998,0,0,0,1,0,0
6,2006,2,66937,8895683010901,0,0,0,1,0,0
6,2008,2,58475,22931672010497,0,0,0,1,0,0
6,2018,2,58475,484816613489998,0,0,0,1,0,0
6,2001,2,77594,23721146010900,0,0,1,0,0,0
6,2011,2,77594,48202411010497,0,0,1,0,0,0
6,2003,2,81443,24259401010900,0,0,1,0,0,0
6,2013,2,81443,44541149020004,0,0,1,0,0,0
6,2005,2,92166,15263373010497,0,0,0,1,0,0
6,2015,2,92166,273641980489998,0,0,0,1,0,0
6,2005,2,50664,15250673010497,0,0,0,1,0,0
6,2015,2,50664,273642328489998,0,0,0,1,0,0
6,2010,2,97881,40218435010497,0,0,0,1,0,0
6,2007,2,86089,22956289010497,0,0,0,1,0,0
6,2017,2,86089,412222010489998,0,0,0,1,0,0
6,2009,2,73237,29878952010497,0,0,0,1,0,0
6,2019,2,73237,558627035126144,0,0,0,1,0,0
6,2001,2,63040,23645222010900,0,0,0,1,0,0
6,2011,2,63040,48205001010497,0,0,0,1,0,0
6,2010,2,82796,40218442010497,0,0,1,0,0,0
6,2008,2,61019,22929922010497,0,0,0,1,0,0
6,2018,2,61019,484816629489998,0,0,0,1,0,0
6,2010,2,56429,9827857010902,0,0,0,1,0,0
6,2001,2,93917,23650634010900,0,0,0,1,0,0
6,2011,2,93917,48203761010497,0,0,0,1,0,0
6,2016,2,98076,345934765489998,0,0,0,1,0,0
6,2006,2,98076,8895739010901,0,0,0,1,0,0
6,2010,2,53348,40218447010497,0,0,0,1,0,0
6,2002,2,88849,23794378010900,0,0,0,1,0,0
6,2012,2,88849,30762286020004,0,0,0,1,0,0
6,2014,2,98262,216959169020004,0,0,0,1,0,0
6,2004,2,98262,25149015010900,0,0,0,1,0,0
6,2002,2,59043,23830848010900,0,0,0,1,0,0
6,2012,2,59043,30764367020004,0,0,0,1,0,0
6,2003,2,61286,24287362010900,0,0,0,1,0,0
6,2013,2,61286,44543075020004,0,0,0,1,0,0
6,2009,2,95098,29879037010497,0,0,0,1,0,0
