STATECD,PLOT_FIADB,INVYR,pre.precip,post.precip
6,59447,2002,128.9122404,122.3380431
6,79785,2009,415.9183805,497.2533198
6,96764,2006,388.8334029,366.9993891
6,54753,2008,367.7406017,369.9555181
6,74822,2003,53.0296565,36.33632725
6,70946,2006,111.0002603,86.13180369
6,80830,2007,295.4775493,372.4192742
6,55685,2009,337.6088923,449.2330261
6,87139,2009,40.38829276,43.98641815
6,70406,2003,9999,9999
6,80359,2004,311.3877452,332.6867332
6,66098,2008,9999,9999
6,67638,2009,377.0219497,562.8332859
6,94249,2009,9999,9999
6,51576,2001,829.541435,631.221364
6,62877,2003,9999,9999
6,80491,2008,540.673513,707.3627169
6,59093,2002,9999,9999
6,86776,2005,288.768745,202.3693508
6,75148,2006,1068.369225,737.8019176
6,97889,2003,686.5441018,634.059748
6,83517,2009,220.802447,302.2946729
6,98451,2003,1002.929871,810.7396534
6,51199,2002,400.0146739,369.893103
6,84253,2006,357.3457863,304.60161
6,56643,2003,367.9142262,275.0458965
6,93429,2007,321.487505,422.7978801
6,51434,2005,423.8333879,331.7451277
6,57971,2006,418.8197233,396.266341
6,61651,2008,399.0080028,421.0521318
6,59197,2003,790.7734608,546.2177063
6,75351,2005,478.2787359,365.0749173
6,74018,2007,416.2507879,502.0956844
6,98977,2009,388.6743347,516.2495818
6,75921,2001,516.0020003,404.6888655
6,79229,2001,636.3976801,499.36561
6,51559,2003,471.4991688,377.891198
6,92283,2005,438.327118,354.8828568
6,76194,2002,575.0513161,556.6971258
6,54727,2004,416.4525158,421.3101851
6,61797,2006,379.1766552,372.4169306
6,91446,2002,768.0945778,684.7219993
6,88447,2004,533.4927435,471.2998519
6,66937,2006,514.2554149,482.597841
6,58475,2008,461.1177684,503.9422402
6,77594,2001,757.4358987,567.7763921
6,81443,2003,605.906144,438.9448039
6,92166,2005,512.4017894,390.0081225
6,50664,2005,322.2524586,281.5159088
6,86089,2007,573.037393,646.2863703
6,73237,2009,484.8613548,689.3870689
6,63040,2001,716.7434276,536.2551686
6,61019,2008,576.2469632,627.4590488
6,93917,2001,359.317719,272.3400188
6,98076,2006,370.1471424,308.5575789
6,88849,2002,803.2878208,699.1733176
6,98262,2004,535.4558255,532.8036893
6,59043,2002,680.9424505,618.3260348
6,61286,2003,714.4360706,532.7839955
6,95098,2009,474.6750882,670.5948084
6,99284,2003,376.7347085,324.271723
6,95917,2009,574.6709212,729.0823326
6,72574,2006,885.375961,725.6292669
6,97877,2009,569.8599132,897.3889112
6,62967,2001,752.2689886,554.7123103
6,61904,2001,793.9407255,684.487945
6,76399,2008,584.5429099,753.5824085
6,61575,2002,612.5885221,578.7576555
6,62023,2005,503.5802252,378.603582
6,54825,2005,417.0399863,281.234322
6,83752,2004,201.7320648,185.0324244
6,77523,2006,318.9153975,278.8700886
6,76323,2008,293.0292389,369.0829826
6,61511,2004,574.8496038,531.1919134
6,59666,2006,627.1015691,595.0763616
6,68087,2008,485.764229,603.8359042
6,58966,2002,427.2228599,479.1972285
6,55559,2004,339.7141236,368.9668368
6,83063,2009,315.2220073,439.5342377
6,90040,2005,252.0137263,220.8946395
6,72088,2005,821.2621304,577.3125946
6,51527,2003,660.2435858,460.1873183
6,57465,2005,640.6013916,471.0524428
6,63595,2007,496.3972068,621.0542897
6,86412,2006,471.1756414,412.0369423
6,60158,2006,440.0833801,359.311292
6,51525,2003,413.2362649,295.251557
6,97423,2007,328.9512429,476.1787439
6,93287,2001,275.3563216,272.2918965
6,83094,2009,271.1879802,395.458236
6,65195,2008,368.9607965,403.737531
6,91760,2009,354.374406,449.4271706
6,80401,2007,734.5822054,688.2598408
6,97860,2001,565.0016602,485.3057101
6,60696,2007,1216.073868,1520.566698
6,72050,2001,1015.795774,793.789918
6,94371,2007,400.4812888,515.9331534
6,53893,2003,550.1258367,490.4077939
6,95620,2004,691.4249089,680.5700517
6,82550,2004,571.0115489,548.9396573
6,82871,2003,638.7659313,514.7099104
6,51549,2007,554.6122569,607.9188929
6,50533,2009,452.4690236,685.0646013
6,57441,2002,1124.275091,1186.701447
6,75013,2002,472.7429993,468.9585599
6,78769,2009,770.7759144,1134.545329
6,70928,2009,357.9158242,572.8532373
6,96611,2006,856.0970226,741.7533969
6,94509,2008,775.028549,847.6207852
6,92501,2001,737.974717,684.3962047
6,64496,2005,819.0561479,580.5139144
6,83310,2007,547.1908947,718.8420294
6,52120,2008,627.6072722,976.6676924
6,94559,2009,583.6236173,921.4982684
6,75721,2001,932.9687333,642.8178174
6,56093,2004,461.2901767,505.3047186
6,87099,2006,609.4262335,637.8672219
6,86909,2003,629.4674194,652.3498791
6,82992,2005,532.0532825,503.4912392
6,88080,2009,652.5095426,980.1047295
6,66893,2001,700.1118692,630.0949286
6,67179,2009,750.97675,944.0365046
6,82825,2005,856.8795434,736.9237194
6,61318,2001,749.7957664,701.2411693
6,69798,2009,955.8869762,1148.719121
6,75349,2003,1700.198892,1551.437612
6,83652,2009,441.5247481,460.0387168
6,90396,2005,729.552983,479.7221272
6,84834,2002,1700.613559,1814.76738
6,73609,2006,722.8535234,548.7134211
6,69639,2006,1119.059769,999.7780242
6,52782,2008,1053.639668,1162.260956
6,89143,2005,676.8504589,474.8154508
6,66223,2008,1886.906519,2064.865481
6,68773,2003,1356.933314,1134.142509
6,82378,2008,1680.549863,1752.019081
6,65418,2006,729.1963823,637.8258984
6,79790,2009,431.4266474,560.2222234
6,72617,2007,1844.490694,2410.360218
6,55825,2004,288.9406255,387.0873513
6,68667,2003,818.5410866,725.0420554
6,69002,2005,147.7295347,226.207082
6,93262,2008,804.8329713,886.0178455
6,79025,2001,971.1070867,812.7389426
6,95321,2009,217.0318759,520.1565807
6,55496,2001,213.1938815,246.4243326
6,98547,2002,689.5453769,830.6782735
6,67682,2001,280.3379003,306.5116899
6,54577,2002,187.7406058,328.8846727
6,61620,2005,160.1672416,319.9556908
6,60249,2003,152.8554599,222.4264883
6,72788,2003,1744.010387,1593.517819
6,57413,2007,176.1766486,450.6757144
6,94582,2009,180.8134999,427.3561942
6,51902,2008,173.6958488,416.4702298
6,78884,2001,832.3641896,646.1895119
6,52596,2002,1312.765445,1313.807633
6,63117,2001,400.2174605,394.3984081
6,63346,2001,422.1418449,408.0686837
6,86035,2003,354.2155318,426.6574843
6,92890,2009,867.727397,1166.921482
6,90345,2008,349.1789806,507.0436512
6,77838,2009,340.0133226,544.1501165
6,96146,2009,974.9392367,1141.290073
6,82241,2009,702.1348028,769.9812839
6,98508,2007,1373.655168,1571.595989
