State_Plot,LAT,LON
6639941,42.355983,-123.163675
9652641,42.351891,-122.657696
7069041,42.301217,-119.561459
5921841,42.438747,-123.113869
6523941,42.39606,-119.745033
7086241,42.487639,-123.571383
8358841,42.510214,-120.191963
8765641,42.403192,-117.023029
8322341,42.597352,-123.249547
6801841,42.553315,-122.659667
9786941,42.547155,-120.147622
6731241,42.590706,-123.723664
7591741,42.65474,-123.580877
6026941,42.649141,-123.190195
7874841,42.579153,-118.572432
6118841,42.522771,-117.048585
7240141,42.631274,-118.771309
8630741,42.653258,-118.73486
7435641,42.677243,-118.909333
8138541,42.722747,-118.842182
9051141,42.723496,-118.744819
8999241,42.773462,-118.905978
7882041,42.772737,-118.773964
5550841,42.820468,-118.708357
9941741,42.873947,-118.978912
5895641,42.868969,-118.774566
7045341,42.986814,-122.156928
6658141,42.920287,-118.973763
7668941,42.864569,-118.905228
6055841,42.99027,-122.026143
8895241,42.920924,-118.90453
8884641,42.919317,-118.712246
6534041,42.925045,-118.669778
6624041,43.043572,-123.9643
6265741,43.017807,-118.495012
6219241,43.020145,-118.434435
9108641,43.019086,-118.365017
8078441,43.136588,-123.155311
7211641,43.141848,-120.68042
9898141,43.065598,-118.365523
6512041,43.191658,-121.826024
8840541,43.135741,-120.540683
5505241,43.164911,-119.836492
9004341,43.115017,-118.507437
8191941,43.243743,-123.901219
6939041,43.19824,-123.709571
9617641,43.236453,-121.147871
5828041,43.181697,-120.95078
9116441,43.112182,-118.360908
5429741,43.117701,-118.299732
8014341,43.23547,-120.945716
6311341,43.200663,-119.815665
7167041,43.159536,-118.115543
6026741,43.287768,-121.011035
5780041,43.212191,-118.110028
9877241,43.215769,-118.049993
5451341,43.338439,-120.738995
7919841,43.33249,-120.669622
5362541,43.379185,-120.743727
5293541,43.387483,-120.680578
9605441,43.37624,-120.297451
8222641,43.382788,-120.263866
8077141,43.287995,-118.162805
9153941,43.433026,-121.138588
5356341,43.412613,-120.928115
9963141,43.432685,-120.132335
9813541,43.482518,-120.807845
8669341,43.481883,-120.743271
7848541,43.483167,-120.470872
9971841,43.481662,-120.422822
5842441,43.483004,-120.396624
5049941,43.551583,-123.948083
8444041,43.528597,-120.667589
8553441,43.528169,-120.536891
6376241,43.535574,-120.469882
8640341,43.510373,-120.031002
9808841,43.438282,-118.445947
5541741,43.564974,-121.504418
7566141,43.546291,-120.644861
9104741,43.55341,-120.512106
8271441,43.536732,-120.263803
9083841,43.53602,-120.063566
5282141,43.514696,-119.697166
5283641,43.455341,-118.492181
6361841,43.624914,-123.774713
5512341,43.575153,-120.667923
7101941,43.579376,-120.336306
